990001184500106381,AAN1901.0001.001,"Peirce, Benjamin, 1809-1880.",An elementary treatise on plane and solid geometry /,1855.,"Boston,",eng
990001205260106381,AAN4000.0001.001,"Dickens, Charles, 1812-1870.",The life and adventures of Martin Chuzzlewit /,(pref. 1867).,Philadelphia :,eng
990001245120106381,AAN8038.0001.001,"Johnston, Jas. F. W. (James Finlay Weir), 1796-1855.","Notes on North America agricultural, economical, and social, /",1851.,Boston :,eng
990001575640106381,AAS1671.0001.001,"Smith, Roswell Chamberlain, 1797-1875.",Arithmetic on the productive system : accompanied by a key and cubical blocks /,1850.,New York :,eng
990001619620106381,AAS6108.0001.001,"Magwire, John.","In reponse to a resolution of the Legal Tender Club, of St. Louis, Mo. /",1876.,"St Louis?,",eng
990001662140106381,AAT0416.0001.001,"Mansfield, Edward Deering, 1801-1880.","The Mexican war : a history of its origin, and a detailed account of the victories which terminated in the surrender of the capital; with the official despatches of the generals. To which is added, the treaty of peace, and valuable tables of the strength and losses of the United States Army /",1860.,New York :,eng
990001667560106381,AAT0973.0001.001,"Baylies, Francis, 1783-1852.","A narrative of Major General Wool's campaign in Mexico : in the years 1846, 1847, and 1848 /",1851.,Albany :,eng
990001995350106381,AAW4343.0001.001,"Barber, John Warner, 1798-1885.","All the western states and territories, from the Alleghanies to the Pacific, and from the Lakes to the Gulf, containing their history from the earliest times ..",1867.,"Cincinnati, O.,",eng
990002030240106381,AAW7861.0001.001,United States. Congress. Joint Committee on the Conduct of the War.,Fort Pillow massacre ...,1864],"[Washington,",eng
990002341500106381,AAZ9604.0001.001,"Sumner, Charles, 1811-1874.","Speech of Hon. Charles Sumner, of Massachusetts, on the cession of Russian America to the United States",1867.,"Washington,",eng
990002354250106381,ABA0896.0001.001,"Taylor, Bayard, 1825-1878.","Travels in Greece and Russia, with an excursion to Crete.",1859.,"New York,",eng
990035326320106381,ABA0970.0001.001,"Abbott, Gorham D., 1807-1874",Mexico and the United States; their mutual relations and common interests.,1869.,"New York,",eng
990002358470106381,ABA1323.0001.001,"Dixon, William Hepworth, 1821-1879.",Her Majesty's tower.,1869.,Philadelphia :,eng
990002361780106381,ABA1664.0001.001,"Meade, George Gordon, 1815-1872.",Report of the survey of the north end northwest lakes:,1859.,"Washington,",eng
990002426890106381,ABA8257.0001.001,"Aguilar, Grace, 1816-1847.",Home influence : a tale for mothers and daughters /,1871.,New York :,eng
990002431590106381,ABA8733.0001.001,"Clemmer, Mary, 1839-1884.","Eirene : or, A woman's right /",1871.,New York :,eng
990002444760106381,ABB0066.0001.001,"Arthur, T. S. (Timothy Shay), 1809-1885.",Orange blossoms : fresh and faded /,[c1871],Philadelphia :,eng
990002469340106381,ABB2545.0001.001,"Baegert, Jacob, 1717-1772.",An account of the aboriginal inhabitants of the Californian Peninsula /,1865-75],"[Washington?,",eng
990002480830106381,ABB3707.0001.001,"Holmes, William Henry, 1846-1933.",A notice of the ancient remains of southwestern Colorado examined during the summer of 1875 /,1876.,"Washington,",eng
990002768260106381,ABE3170.0001.001,"Neill, Edward D. (Edward Duffield), 1823-1893.","Sieur de La Verendrye and his sons : the discoverers of the Rocky Mountains, by way of lakes Superior and Winnepeg, and rivers Assineboin and Missouri ... /",1875.,"Minneapolis, Minn. :",eng
990002779580106381,ABE4314.0001.001,"Adams, Charles Kendall, 1835-1902.","The relations of higher education to national prosperity. An oration delivered before the Phi beta kappa society of the University of Vermont, June 27, 1876./",1876.,"Burlington,",eng
990002788050106381,ABE5173.0001.001,"Chandler, Zachariah, 1813-1879.",Acquisition of Cuba /,1859?],[Washington :,eng
990002808990106381,ABE7284.0001.001,"Bradley, Mary E. (Mary Emily), 1835-1898.","The story of a summer : or, What do ye more than others? /",[1873],Boston :,eng
990002811250106381,ABE7512.0001.001,"Blackburn, Wm. M. (William Maxwell), 1828-1898.",Young Calvin in Paris : and the little flock that he fed. /,[c1865],Philadelphia :,eng
990002815010106381,ABE7890.0001.001,"Brooks, Sarah Warner, 1822-1906.",The legend of St. Christopher : and other poems ...,1859.,Providence :,eng
990002826550106381,ABE9051.0002.001,"Burns, Robert, 1759-1796.",The poetical works of Robert Burns. : With a sketch of the author's life.,1863.,Boston :,eng
990002826550106381,ABE9051.0003.001,"Burns, Robert, 1759-1796.",The poetical works of Robert Burns. : With a sketch of the author's life.,1863.,Boston :,eng
990002827160106381,ABE9113.0001.001,"Campbell, Thomas, 1777-1844.",The complete poetical works of Thomas Campbell : with a memoir of his life.,1855.,Boston :,eng
990002845500106381,ABF0965.0001.001,"Bunyan, John, 1628-1688.",The pilgrim's progress from this world to that which is to come. : Delivered under the similitude of a dream /,1854.,New York :,eng
990003142740106381,ABJ1391.0001.001,"Kruger, F. (Franz), 1830-","The first discovery of America, and its early civilization /",1863.,New York :,eng
990035330320106381,ABJ1666.0001.001,"Venable, William Henry, 1836-1920.",A school history of the United States.,[1872],"Cincinnati,",eng
990003167620106381,ABJ3901.0001.001,"Parsons, Theophilus, 1797-1882.","An oration delivered on the fourth of July, 1861, before the municipal authorities of the city of Boston.",1861.,"Boston,",eng
990003177060106381,ABJ4853.0001.001,"Goodell, William, 1792-1878.","The Kansas struggle, of 1856, in Congress & in the Presidential campaign..",1857.,"New York,",eng
990003177750106381,ABJ4922.0001.001,"Trumbull, Lyman, 1813-1896.","Remarks of Hon. Lyman Trumbull, of Illinois, on seizure of arsenals at Harper's Ferry, Va., and Liberty, Mo., and in vindication of the Republican party and its creed, in reponse to Senators Chesnut, Yulee, Saulsbury, Clay and Pugh.",1859],"[Washington, D.C.,",eng
990003178050106381,ABJ4952.0001.001,"Richardson, William Alexander, 1811-1872.","Speech of Hon. W.A. Richardson, of Illinois, delivered in Burlington, New Jersey, Tuesday evening, July 17, 1860.",1860],"[Philadelphia,",eng
990003182520106381,ABJ5403.0001.001,United States. Department of State.,"Message from the President of the United States : communicating, in compliance with resolutions of the Senate, information upon the subject of the Aves Island.",1861?],"[Washington?,",eng
