990001070520106381,AAM0382.0001.001,"Ellis, John, 1815-1896.",Family homoeopathy.,1872.,"E.R. Ellis ...,","Detroit, Mich.:",eng
990001144110106381,AAM7827.0001.001,"Aldrich, Thomas Bailey, 1836-1907.","Wyndham towers,",1890.,"Houghton, Mifflin and Company,",Boston;,eng
990001145730106381,AAM7991.0001.001,"Buel, Alexander Woodruff, 1813-1868.","Speech of Mr. Buel, of Michigan, on northwestern defence. : Delivered in the House of Representatives July 31, 1850.",1850.,"Printed at the Congressional globe office,",Washington :,eng
990001155290106381,AAM8950.0001.001,,"History of the New York Stock Exchange, the New York Stock Exchange directory, the Produce, Consolidated Stock and Petroleum, and Cotton exchanges. : And the New York and London clearing house systems.",c. 1887.,"Financier Co.,",New York :,eng
990001155440106381,AAM8965.0001.001,,"The cornucopia of old, the lottery wheel of the new. The generous and tender handmaiden of all the virtues. A historical resumé./",1877.,"[L. Graham, book and job printer]",New Orleans,eng
990001159360106381,AAM9359.0001.001,"Worcester, Joseph E. (Joseph Emerson), 1784-1865.",An elementary dictionary of the English language /,1860.,"Swan, Brewer and Tileston,",Boston :,eng
990001159410106381,AAM9364.0001.001,"Swinton, William, 1833-1892.","Rambles among words : their poetry, history and wisdom /",1872.,"Ivison, Blakeman, Taylor & co.,","New York,",eng
990001164560106381,AAM9882.0001.001,"Adams, Nehemiah, 1806-1878.","A sermon preached to the congregation at the Essex street church, October 31, 1852, the Sabbath after the interment of Hon. Daniel Webster /",1852.,"Press of G. C. Rand,",Boston :,eng
990001170150106381,AAN0447.0001.001,"Sumner, Thomas H.","A new and accurate method of finding a ship's position at sea, by projection on Mercator's chart ... : The principles of the method being fully explained and illustrated by problems, examples, and plates, with rules for practice, and examples from actual observation /",1851.,"T. Groom & co.,",Boston :,eng
990001175500106381,AAN0989.0001.001,"Stoddard, Richard Henry, 1825-1903.",Abraham Lincoln. An Horatian ode./,[1865],Bunce & Huntington,"New York,",eng
990001178170106381,AAN1256.0001.001,"Johnston, Elizabeth Bryant, 1833-1907.",Visitors' guide to Mount Vernon ...,[c1876],"Gibson brothers, printers,","Washington, D. C. :",eng
990001178380106381,AAN1277.0001.001,"Everett, Edward, 1794-1865.","The uses of astronomy. : An oration delivered at Albany, on the 28th of July [i.e. August] 1856 /",1856.,"Ross & Tousey,",New York :,eng
990001178500106381,AAN1289.0001.001,"Ingelow, Jean, 1820-1897.",The monitions of the unseen : and poems of love and childhood /,1871.,"Roberts brothers,",Boston :,eng
990001182070106381,AAN1656.0001.001,"Kent, Charles, 1823-1902.",Charles Dickens as a reader /,1872.,J. B. Lippincott & co.;,Philadelphia :,eng
990001197690106381,AAN3234.0001.001,"Moore, M. A.",Dinah.,1861.,"C. Scribner,",New York :,eng
990001201790106381,AAN3648.0002.001,"Thomes, William Henry, 1824-1895.",The bushrangers. : A Yankee's adventures during his second visit to Australia /,1873.,Lee and Shepard;,Boston :,eng
990001202430106381,AAN3713.0001.001,"Thompson, Maurice, 1844-1901.",Hoosier mosaics /,1875.,"E. J. Hale & son,",New York :,eng
