dlxs_id,mms_id,creator,title,publication_date,publisher,publication_place,language
990000617910106381,AAG4364.1897.001,University of Michigan.,Michiganensian.  [1897],[1897],"University of Michigan,",[Ann Arbor] :,eng
990000617910106381,AAG4364.1898.001,University of Michigan.,Michiganensian.  [1898],[1898],"University of Michigan,",[Ann Arbor] :,eng
990000617910106381,AAG4364.1899.001,University of Michigan.,Michiganensian.  [1899],[1899],"University of Michigan,",[Ann Arbor] :,eng
990000617910106381,AAG4364.1900.001,University of Michigan.,Michiganensian.  [1900],[1900],"University of Michigan,",[Ann Arbor] :,eng
990000617910106381,AAG4364.1901.001,University of Michigan.,Michiganensian.  [1901],[1901],"University of Michigan,",[Ann Arbor] :,eng
990000617910106381,AAG4364.1902.001,University of Michigan.,Michiganensian.  [1902],[1902],"University of Michigan,",[Ann Arbor] :,eng
990000617910106381,AAG4364.1903.001,University of Michigan.,Michiganensian.  [1903],[1903],"University of Michigan,",[Ann Arbor] :,eng
990000617910106381,AAG4364.1904.001,University of Michigan.,Michiganensian.  [1904],[1904],"University of Michigan,",[Ann Arbor] :,eng
990000617910106381,AAG4364.1905.001,University of Michigan.,Michiganensian. [1905],[1905],"University of Michigan,",[Ann Arbor] :,eng
990000617910106381,AAG4364.1906.001,University of Michigan.,Michiganensian. [1906],[1906],"University of Michigan,",[Ann Arbor] :,eng
990000617910106381,AAG4364.1907.001,University of Michigan.,Michiganensian. [1907],[1907],"University of Michigan,",[Ann Arbor] :,eng
990000617910106381,AAG4364.1909.001,University of Michigan.,Michiganensian.  [1909],[1909],"University of Michigan,",[Ann Arbor] :,eng
990000617910106381,AAG4364.1910.001,University of Michigan.,Michiganensian.  [1910],[1910],"University of Michigan,",[Ann Arbor] :,eng
990000617910106381,AAG4364.1911.001,University of Michigan.,Michiganensian.  [1911],[1911],"University of Michigan,",[Ann Arbor] :,eng
990000617910106381,AAG4364.1912.001,University of Michigan.,Michiganensian.  [1912],[1912],"University of Michigan,",[Ann Arbor] :,eng
990000617910106381,AAG4364.1913.001,University of Michigan.,Michiganensian.  [1913],[1913],"University of Michigan,",[Ann Arbor] :,eng
990000617910106381,AAG4364.1915.001,University of Michigan.,Michiganensian.  [1915],[1915],"University of Michigan,",[Ann Arbor] :,eng
990000617910106381,AAG4364.1916.001,University of Michigan.,Michiganensian.  [1916],[1916],"University of Michigan,",[Ann Arbor] :,eng
990000617910106381,AAG4364.1917.001,University of Michigan.,Michiganensian.  [1917],[1917],"University of Michigan,",[Ann Arbor] :,eng
990000617910106381,AAG4364.1918.001,University of Michigan.,Michiganensian.  [1918],[1918],"University of Michigan,",[Ann Arbor] :,eng
990000617910106381,AAG4364.1919.001,University of Michigan.,Michiganensian.  [1919],[1919],"University of Michigan,",[Ann Arbor] :,eng
